,Workload,Algorithm,r,Mean (Std)
0,corona,FEMOSAA,3,0.953 (0.043)
1,corona,Seed-EA,2,0.912 (0.031)
2,corona,D-SOGA,2,0.912 (0.024)
3,corona,LiDOS,2,0.916 (0.025)
4,corona,DLiSA-0.3,1,0.907 (0.014)
5,cranium,FEMOSAA,3,1.38 (0.037)
6,cranium,Seed-EA,2,1.34 (0.02)
7,cranium,D-SOGA,3,1.341 (0.019)
8,cranium,LiDOS,3,1.345 (0.028)
9,cranium,DLiSA-0.3,1,1.338 (0.019)
10,cubus,FEMOSAA,2,4.326 (0.153)
11,cubus,Seed-EA,2,4.197 (0.04)
12,cubus,D-SOGA,2,4.199 (0.042)
13,cubus,LiDOS,2,4.206 (0.056)
14,cubus,DLiSA-0.3,1,4.196 (0.056)
15,flame,FEMOSAA,3,1.233 (0.03)
16,flame,Seed-EA,1,1.191 (0.022)
17,flame,D-SOGA,3,1.195 (0.023)
18,flame,LiDOS,3,1.2 (0.021)
19,flame,DLiSA-0.3,2,1.193 (0.026)
20,france,FEMOSAA,3,2.492 (0.066)
21,france,Seed-EA,2,2.409 (0.04)
22,france,D-SOGA,2,2.413 (0.042)
23,france,LiDOS,3,2.42 (0.041)
24,france,DLiSA-0.3,1,2.404 (0.036)
25,frisco,FEMOSAA,3,3.323 (0.157)
26,frisco,Seed-EA,2,3.158 (0.059)
27,frisco,D-SOGA,3,3.158 (0.049)
28,frisco,LiDOS,3,3.17 (0.049)
29,frisco,DLiSA-0.3,1,3.152 (0.042)
30,jelly,FEMOSAA,2,1.17 (0.036)
31,jelly,Seed-EA,1,1.136 (0.016)
32,jelly,D-SOGA,2,1.136 (0.013)
33,jelly,LiDOS,2,1.139 (0.022)
34,jelly,DLiSA-0.3,2,1.137 (0.016)
35,karte,FEMOSAA,3,7.249 (0.251)
36,karte,Seed-EA,2,7.079 (0.112)
37,karte,D-SOGA,3,7.084 (0.105)
38,karte,LiDOS,3,7.095 (0.093)
39,karte,DLiSA-0.3,1,7.076 (0.077)
40,mandelbrot,FEMOSAA,3,1.068 (0.018)
41,mandelbrot,Seed-EA,1,1.047 (0.01)
42,mandelbrot,D-SOGA,2,1.049 (0.012)
43,mandelbrot,LiDOS,2,1.049 (0.012)
